time,game,money_spent,balance
03/11/2024 01:52:32,slotMachine,100,3600
03/11/2024 01:52:32,slotMachine,100,3500
03/11/2024 01:52:33,slotMachine,100,3400
03/11/2024 01:52:33,slotMachine,100,3300
03/11/2024 01:52:37,slotMachine,100,4700
03/11/2024 01:54:37,slotMachine,100,900
03/11/2024 02:22:28,slotMachine,100,900
03/11/2024 02:22:29,slotMachine,100,2300
03/11/2024 02:22:31,slotMachine,100,2200
03/11/2024 02:22:56,slotMachine,100,2100
03/11/2024 02:23:24,slotMachine,100,2000
03/11/2024 02:23:55,slotMachine,100,1900
03/11/2024 02:23:58,slotMachine,100,1800
03/11/2024 02:24:17,slotMachine,100,4700
03/11/2024 02:24:21,slotMachine,100,4600
03/11/2024 02:24:26,slotMachine,100,4500
03/11/2024 02:25:02,slotMachine,100,10400
03/11/2024 02:25:03,slotMachine,100,10300
03/11/2024 02:25:03,slotMachine,100,10200
03/11/2024 02:25:03,slotMachine,100,10100
03/11/2024 02:25:03,slotMachine,100,10000
03/11/2024 02:25:04,slotMachine,100,9900
03/11/2024 02:25:39,slotMachine,100,9800
03/11/2024 02:26:14,slotMachine,100,9700
03/11/2024 02:26:17,slotMachine,100,12600
03/11/2024 02:27:08,slotMachine,100,12500
03/11/2024 02:27:09,slotMachine,100,12400
03/11/2024 02:27:11,slotMachine,100,12300
03/11/2024 02:27:11,slotMachine,100,12200
03/11/2024 02:27:12,slotMachine,100,12100
03/11/2024 02:27:13,slotMachine,100,12000
03/11/2024 02:27:13,slotMachine,100,11900
03/11/2024 02:27:14,slotMachine,100,11800
03/11/2024 02:27:21,slotMachine,100,17700
03/11/2024 02:27:24,slotMachine,100,17600
03/11/2024 02:34:21,slotMachine,100,17500
03/11/2024 02:34:23,slotMachine,100,18900
03/11/2024 02:34:25,slotMachine,100,18800
03/11/2024 02:35:59,slotMachine,100,18700
03/11/2024 02:36:29,slotMachine,100,18600
03/11/2024 02:37:19,slotMachine,100,18500
03/11/2024 11:55:44,slotMachine,100,18400
03/11/2024 11:55:44,slotMachine,100,18300
03/11/2024 11:55:46,slotMachine,100,18200
03/11/2024 11:55:47,slotMachine,100,21100
03/11/2024 11:55:51,slotMachine,100,21000
03/11/2024 11:55:54,slotMachine,100,20900
03/11/2024 11:55:55,slotMachine,100,32800
03/11/2024 11:56:11,slotMachine,100,34200
03/11/2024 11:56:13,slotMachine,100,34100
03/11/2024 11:56:14,slotMachine,100,34000
03/11/2024 11:56:15,slotMachine,100,33900
03/11/2024 11:56:17,slotMachine,100,33800
03/11/2024 11:56:18,slotMachine,100,33700
03/11/2024 11:56:19,slotMachine,100,33600
03/11/2024 11:56:20,slotMachine,100,36500
03/11/2024 11:56:20,slotMachine,100,36400
03/11/2024 11:56:21,slotMachine,100,39300
03/11/2024 11:56:22,slotMachine,100,40700
03/11/2024 11:56:22,slotMachine,100,40600
03/11/2024 11:56:23,slotMachine,100,40500
03/11/2024 11:56:23,slotMachine,100,40400
